iter	Passed	Remaining
178	479	2199
179	481	2191
180	483	2185
181	485	2180
182	487	2174
183	490	2174
184	492	2167
185	493	2161
186	495	2154
187	497	2146
188	499	2144
189	501	2136
190	503	2132
191	505	2128
192	507	2120
193	508	2112
194	509	2105
195	511	2097
196	512	2090
197	514	2084
198	517	2084
199	519	2076
200	520	2068
201	521	2061
202	524	2061
203	526	2056
204	529	2055
205	532	2053
206	534	2046
207	535	2038
208	536	2030
209	538	2024
210	539	2017
211	540	2010
212	542	2003
213	543	1995
214	545	1990
215	547	1986
216	548	1980
217	550	1974
218	551	1968
219	553	1961
220	554	1954
221	555	1947
222	556	1940
223	558	1933
224	562	1936
225	563	1929
226	564	1923
227	566	1916
228	567	1909
229	568	1903
230	569	1896
231	571	1890
232	572	1883
233	573	1878
234	576	1875
235	577	1869
236	579	1864
237	580	1858
238	581	1851
239	582	1846
240	584	1840
241	585	1834
242	586	1827
243	589	1827
244	591	1823
245	593	1818
246	594	1813
247	596	1808
248	597	1801
249	598	1796
250	599	1790
251	601	1784
252	602	1778
253	604	1775
254	606	1770
255	607	1765
256	608	1760
257	610	1754
258	611	1749
259	612	1743
260	613	1738
261	615	1732
262	619	1734
263	620	1730
264	621	1725
265	623	1721
266	625	1716
267	626	1710
268	627	1705
269	628	1699
270	631	1699
271	633	1696
272	635	1691
273	636	1687
274	638	1682
275	639	1677
276	640	1672
277	642	1668
278	644	1664
279	648	1666
280	649	1662
281	653	1663
282	654	1658
283	655	1653
284	657	1648
285	658	1644
286	661	1643
287	663	1639
288	664	1635
289	666	1631
290	667	1626
291	668	1621
292	670	1616
293	671	1611
294	672	1608
295	674	1604
296	677	1602
297	678	1598
298	680	1595
299	681	1590
300	682	1585
301	684	1580
302	685	1576
303	687	1572
304	688	1568
305	690	1565
306	692	1562
307	693	1559
308	695	1554
309	696	1550
310	697	1545
311	698	1541
312	700	1537
313	701	1533
314	703	1529
315	706	1528
316	707	1525
317	709	1522
318	710	1517
319	712	1513
320	713	1508
321	714	1505
322	716	1501
323	717	1497
324	720	1495
325	721	1492
326	723	1488
327	725	1485
328	726	1481
329	727	1477
330	729	1473
331	730	1469
332	731	1465
333	733	1462
334	735	1460
335	737	1457
336	738	1453
337	740	1449
338	741	1445
339	743	1442
340	744	1438
341	745	1434
342	746	1430
343	749	1429
344	751	1426
345	752	1422
346	754	1418
347	755	1414
348	756	1410
349	757	1406
350	758	1402
351	759	1398
352	761	1395
353	762	1392
354	764	1388
355	765	1385
356	767	1382
357	769	1380
358	771	1377
359	772	1373
360	774	1370
361	777	1370
362	778	1366
363	780	1363
364	781	1360
365	783	1356
366	784	1353
367	785	1349
368	786	1345
369	788	1341
370	789	1338
371	792	1337
372	794	1335
373	795	1331
374	796	1328
375	798	1324
376	799	1320
377	800	1317
378	801	1313
379	802	1309
380	804	1306
381	806	1304
382	807	1300
383	808	1297
384	809	1293
385	811	1290
386	812	1286
387	813	1283
388	814	1279
389	815	1275
390	817	1272
391	820	1273
392	822	1270
393	824	1268
394	827	1266
395	828	1263
396	829	1260
397	831	1257
398	832	1254
399	836	1255
400	838	1252
401	839	1249
402	841	1246
403	842	1243
404	844	1240
405	845	1237
406	847	1234
407	851	1235
408	853	1232
409	854	1230
410	856	1227
411	858	1224
412	859	1221
413	861	1219
414	862	1216
415	866	1216
416	868	1213
417	869	1210
418	870	1207
419	872	1204
420	873	1201
421	874	1198
422	876	1195
423	880	1196
424	882	1194
425	884	1191
426	887	1190
427	890	1189
428	891	1187
429	895	1187
430	898	1186
431	900	1183
432	901	1180
433	902	1177
434	903	1174
435	905	1170
436	906	1168
437	910	1167
438	911	1165
439	913	1162
440	916	1161
441	917	1158
442	918	1155
443	920	1152
444	921	1149
445	924	1148
446	926	1145
447	927	1142
448	928	1139
449	930	1136
450	931	1133
451	932	1130
452	933	1127
453	935	1124
454	936	1122
